EXEMPLOS DE SOLUÇÕES

# MÉTODO: Primeiro caso

        x1 |        x2 |        x3 |        x4 |       x5 |       x6 |   res.
  0.927982  |  0.707107 | 0.372625 |  0.707107 |    0 |    0 |      0
  0.927982  | -0.707107 | 0.372625 |  0.707107 |    0 |    0 |      0
  0.927982  | -0.707107 | 0.372625 | -0.707107 |    0 |    0 |      0
  0.927982  |  0.707107 | 0.372625 | -0.707107 |    0 |    0 |      0
  0.75706   |  0.707107 | 0.653345 |  0.707107 |    0 |    0 |      0
  0.75706   | -0.707107 | 0.653345 |  0.707107 |    0 |    0 |      0
  0.75706   | -0.707107 | 0.653345 | -0.707107 |    0 |    0 |      0
  0.75706   |  0.707107 | 0.653345 | -0.707107 |    0 |    0 |      0
 -0.590114  |  0.707107 | 0.80732  |  0.707107 |    0 |    0 |      0
 -0.590114  | -0.707107 | 0.80732  |  0.707107 |    0 |    0 |      0
 -0.590114  | -0.707107 | 0.80732  | -0.707107 |    0 |    0 |      0
 -0.590114  |  0.707107 | 0.80732  | -0.707107 |    0 |    0 |      0
  0.130821  |  0.707107 | 0.991406 |  0.707107 |    0 |    0 |      0
  0.130821  | -0.707107 | 0.991406 |  0.707107 |    0 |    0 |      0
  0.130821  | -0.707107 | 0.991406 | -0.707107 |    0 |    0 |      0
  0.130821  |  0.707107 | 0.991406 | -0.707107 |    0 |    0 |      0
  0.750917  |  0.707107 | 0.660397 |  0.707107 |    0 |    0 |      0
  0.750917  | -0.707107 | 0.660397 |  0.707107 |    0 |    0 |      0
  0.750917  | -0.707107 | 0.660397 | -0.707107 |    0 |    0 |      0
  0.750917  |  0.707107 | 0.660397 | -0.707107 |    0 |    0 |      0
 -0.42      |  0.707107 | 0.907524 |  0.707107 |    0 |    0 |      0
 -0.42      | -0.707107 | 0.907524 |  0.707107 |    0 |    0 |      0
 -0.42      | -0.707107 | 0.907524 | -0.707107 |    0 |    0 |      0
 -0.42      |  0.707107 | 0.907524 | -0.707107 |    0 |    0 |      0
  0.0622592 |  0.707107 | 0.99806  |  0.707107 |    0 |    0 |      0
  0.0622592 | -0.707107 | 0.99806  |  0.707107 |    0 |    0 |      0
  0.0622592 | -0.707107 | 0.99806  | -0.707107 |    0 |    0 |      0
  0.0622592 |  0.707107 | 0.99806  | -0.707107 |    0 |    0 |      0
 -0.937557  |  0.707107 | 0.347831 |  0.707107 |    0 |    0 |      0
 -0.937557  | -0.707107 | 0.347831 |  0.707107 |    0 |    0 |      0
 -0.937557  | -0.707107 | 0.347831 | -0.707107 |    0 |    0 |      0
 -0.937557  |  0.707107 | 0.347831 | -0.707107 |    0 |    0 |      0
  0.214595  |  0.707107 | 0.976703 |  0.707107 |    0 |    0 |      0
  0.214595  | -0.707107 | 0.976703 |  0.707107 |    0 |    0 |      0
  0.214595  | -0.707107 | 0.976703 | -0.707107 |    0 |    0 |      0
  0.214595  |  0.707107 | 0.976703 | -0.707107 |    0 |    0 |      0
 -0.903168  |  0.707107 | 0.429288 |  0.707107 |    0 |    0 |      0
 -0.903168  | -0.707107 | 0.429288 |  0.707107 |    0 |    0 |      0
 -0.903168  | -0.707107 | 0.429288 | -0.707107 |    0 |    0 |      0
 -0.903168  |  0.707107 | 0.429288 | -0.707107 |    0 |    0 |      0

# MÉTODO: Primeiro sub-caso

   x1 |   x2 |   x3 |   x4 |        x5 |        x6 |   res.
------+------+------+------+-----------+-----------+--------
    1 |    1 |    0 |    0 |  -4.83896 |   4.83896 |      0
   -1 |   -1 |    0 |    0 |  -4.83896 |   4.83896 |      0
    1 |   -1 |    0 |    0 |  -4.83896 |  -4.83896 |      0
   -1 |    1 |    0 |    0 |  -4.83896 |  -4.83896 |      0
    1 |    1 |    0 |    0 | -65.1046  |  65.1046  |      0
   -1 |   -1 |    0 |    0 | -65.1046  |  65.1046  |      0
    1 |   -1 |    0 |    0 | -65.1046  | -65.1046  |      0
   -1 |    1 |    0 |    0 | -65.1046  | -65.1046  |      0
    1 |    1 |    0 |    0 | -14.374   |  14.374   |      0
   -1 |   -1 |    0 |    0 | -14.374   |  14.374   |      0
    1 |   -1 |    0 |    0 | -14.374   | -14.374   |      0
   -1 |    1 |    0 |    0 | -14.374   | -14.374   |      0
    1 |    1 |    0 |    0 | -33.4165  |  33.4165  |      0
   -1 |   -1 |    0 |    0 | -33.4165  |  33.4165  |      0
    1 |   -1 |    0 |    0 | -33.4165  | -33.4165  |      0
   -1 |    1 |    0 |    0 | -33.4165  | -33.4165  |      0
    1 |    1 |    0 |    0 |  57.2868  | -57.2868  |      0
   -1 |   -1 |    0 |    0 |  57.2868  | -57.2868  |      0
    1 |   -1 |    0 |    0 |  57.2868  |  57.2868  |      0
   -1 |    1 |    0 |    0 |  57.2868  |  57.2868  |      0
    1 |    1 |    0 |    0 | -88.8363  |  88.8363  |      0
   -1 |   -1 |    0 |    0 | -88.8363  |  88.8363  |      0
    1 |   -1 |    0 |    0 | -88.8363  | -88.8363  |      0
   -1 |    1 |    0 |    0 | -88.8363  | -88.8363  |      0
    1 |    1 |    0 |    0 | -30.9607  |  30.9607  |      0
   -1 |   -1 |    0 |    0 | -30.9607  |  30.9607  |      0
    1 |   -1 |    0 |    0 | -30.9607  | -30.9607  |      0
   -1 |    1 |    0 |    0 | -30.9607  | -30.9607  |      0
    1 |    1 |    0 |    0 | -12.8341  |  12.8341  |      0
   -1 |   -1 |    0 |    0 | -12.8341  |  12.8341  |      0
    1 |   -1 |    0 |    0 | -12.8341  | -12.8341  |      0
   -1 |    1 |    0 |    0 | -12.8341  | -12.8341  |      0
    1 |    1 |    0 |    0 | -51.9622  |  51.9622  |      0
   -1 |   -1 |    0 |    0 | -51.9622  |  51.9622  |      0
    1 |   -1 |    0 |    0 | -51.9622  | -51.9622  |      0
   -1 |    1 |    0 |    0 | -51.9622  | -51.9622  |      0
    1 |    1 |    0 |    0 | -18.7024  |  18.7024  |      0
   -1 |   -1 |    0 |    0 | -18.7024  |  18.7024  |      0
    1 |   -1 |    0 |    0 | -18.7024  | -18.7024  |      0
   -1 |    1 |    0 |    0 | -18.7024  | -18.7024  |      0
    1 |    1 |    0 |    0 | -83.5604  |  83.5604  |      0
   -1 |   -1 |    0 |    0 | -83.5604  |  83.5604  |      0
    1 |   -1 |    0 |    0 | -83.5604  | -83.5604  |      0
   -1 |    1 |    0 |    0 | -83.5604  | -83.5604  |      0
    1 |    1 |    0 |    0 | -95.6893  |  95.6893  |      0
